subject,task,trial,is_fall,detected,lead_time_ms
11,1,1,False,False,
11,2,1,False,False,
11,2,3,False,False,
11,2,4,False,False,
11,3,1,False,False,
11,3,2,False,False,
11,3,3,False,False,
11,3,4,False,False,
11,3,5,False,False,
11,4,1,False,False,
11,4,2,False,False,
11,4,3,False,False,
11,4,4,False,False,
11,4,5,False,False,
11,5,1,False,False,
11,5,2,False,False,
11,5,3,False,False,
11,5,4,False,False,
11,5,5,False,False,
11,6,1,False,False,
11,6,2,False,False,
11,6,3,False,False,
11,6,4,False,False,
11,6,5,False,False,
11,7,1,False,False,
11,7,2,False,False,
11,7,3,False,False,
11,7,4,False,False,
11,7,5,False,False,
11,8,1,False,False,
11,8,2,False,False,
11,8,3,False,False,
11,8,4,False,False,
11,8,5,False,False,
11,9,1,False,False,
11,9,2,False,False,
11,9,3,False,False,
11,9,4,False,False,
11,9,5,False,False,
11,10,1,False,True,
11,10,2,False,False,
11,10,3,False,True,
11,10,4,False,False,
11,10,5,False,True,
11,11,1,False,False,
11,12,1,False,False,
11,13,1,False,False,
11,13,2,False,False,
11,13,3,False,False,
11,13,4,False,False,
11,13,5,False,False,
11,14,1,False,False,
11,14,2,False,False,
11,14,3,False,False,
11,14,4,False,False,
11,14,5,False,False,
11,15,1,False,True,
11,15,2,False,True,
11,15,3,False,True,
11,15,4,False,True,
11,15,5,False,True,
11,16,1,False,False,
11,16,2,False,False,
11,16,3,False,False,
11,16,4,False,False,
11,16,5,False,False,
11,17,1,False,False,
11,18,1,False,False,
11,18,2,False,False,
11,18,3,False,False,
11,18,4,False,False,
11,18,5,False,False,
11,19,1,False,False,
11,19,2,False,False,
11,19,3,False,False,
11,19,4,False,False,
11,19,5,False,False,
11,20,1,True,True,120.0
11,20,2,True,True,230.0
11,20,3,True,True,340.0
11,20,4,True,True,360.0
11,20,5,True,True,430.0
11,21,4,True,True,10.0
11,22,1,True,False,
11,22,2,True,True,110.0
11,22,3,True,True,150.0
11,22,4,True,True,120.0
11,22,5,True,True,220.0
11,23,1,True,True,260.0
11,23,2,True,True,240.0
11,23,3,True,True,380.0
11,23,4,True,True,300.0
11,23,5,True,True,170.0
11,24,1,True,True,30.0
11,24,2,True,True,70.0
11,24,3,True,True,100.0
11,24,4,True,True,100.0
11,24,5,True,True,140.0
11,25,1,True,True,360.0
11,25,2,True,True,330.0
11,25,3,True,True,320.0
11,25,4,True,True,410.0
11,26,1,True,True,310.0
11,26,2,True,True,240.0
11,26,3,True,True,360.0
11,26,4,True,True,370.0
11,26,5,True,True,450.0
11,27,1,True,True,20.0
11,27,2,True,True,120.0
11,27,3,True,True,190.0
11,27,4,True,True,230.0
11,27,5,True,True,170.0
11,28,1,True,True,370.0
11,28,3,True,True,290.0
11,28,4,True,True,410.0
11,28,5,True,True,300.0
11,29,1,True,True,20.0
11,29,2,True,True,40.0
11,29,3,True,True,100.0
11,29,4,True,True,60.0
11,29,5,True,True,190.0
11,30,1,True,True,170.0
11,30,2,True,True,220.0
11,30,3,True,True,260.0
11,30,4,True,True,250.0
11,30,5,True,True,260.0
11,31,1,True,True,70.0
11,31,2,True,True,120.0
11,31,3,True,True,160.0
11,31,4,True,True,360.0
11,31,5,True,True,390.0
11,32,1,True,True,150.0
11,32,2,True,True,430.0
11,32,3,True,True,160.0
11,32,4,True,True,140.0
11,32,5,True,True,30.0
11,33,2,True,True,20.0
11,33,3,True,False,
11,33,5,True,True,60.0
11,34,1,True,True,50.0
11,34,2,True,True,40.0
11,34,3,True,True,80.0
11,34,4,True,True,20.0
11,34,5,True,True,10.0
11,35,1,False,False,
11,35,2,False,False,
11,35,3,False,False,
11,35,5,False,True,
11,36,1,False,False,
11,36,2,False,False,
11,36,3,False,False,
11,36,4,False,True,
11,36,5,False,True,
16,1,1,False,False,
16,2,1,False,False,
16,2,2,False,False,
16,2,3,False,True,
16,2,4,False,True,
16,2,5,False,True,
16,3,1,False,False,
16,3,2,False,False,
16,3,3,False,False,
16,3,4,False,False,
16,3,5,False,False,
16,4,1,False,False,
16,4,2,False,False,
16,4,3,False,True,
16,4,4,False,False,
16,4,5,False,False,
16,5,1,False,False,
16,5,2,False,False,
16,5,3,False,False,
16,5,4,False,False,
16,5,5,False,True,
16,6,1,False,False,
16,6,2,False,False,
16,6,3,False,False,
16,6,4,False,False,
16,6,5,False,False,
16,7,1,False,False,
16,7,2,False,False,
16,7,3,False,False,
16,7,4,False,False,
16,7,5,False,False,
16,8,1,False,False,
16,8,2,False,False,
16,8,3,False,False,
16,8,4,False,False,
16,8,5,False,False,
16,9,1,False,False,
16,9,2,False,False,
16,9,3,False,False,
16,9,4,False,False,
16,10,1,False,True,
16,10,2,False,False,
16,10,3,False,True,
16,10,4,False,False,
16,10,5,False,True,
16,11,1,False,False,
16,12,1,False,False,
16,13,1,False,False,
16,13,2,False,False,
16,13,3,False,False,
16,13,4,False,False,
16,14,1,False,False,
16,14,2,False,False,
16,14,3,False,False,
16,14,4,False,False,
16,14,5,False,False,
16,15,1,False,True,
16,15,2,False,True,
16,15,3,False,True,
16,15,4,False,True,
16,15,5,False,True,
16,16,1,False,False,
16,16,2,False,False,
16,16,3,False,False,
16,16,4,False,False,
16,16,5,False,False,
16,17,1,False,False,
16,18,1,False,False,
16,18,2,False,False,
16,18,3,False,True,
16,18,4,False,True,
16,18,5,False,True,
16,19,1,False,False,
16,19,2,False,True,
16,19,3,False,True,
16,19,4,False,True,
16,19,5,False,False,
16,20,1,True,True,140.0
16,20,2,True,True,260.0
16,20,3,True,True,120.0
16,20,4,True,True,140.0
16,20,5,True,True,150.0
16,22,1,True,True,140.0
16,22,2,True,True,240.0
16,22,3,True,True,80.0
16,22,4,True,True,120.0
16,22,5,True,True,200.0
16,23,1,True,True,100.0
16,23,2,True,True,150.0
16,23,3,True,True,270.0
16,23,4,True,True,180.0
16,23,5,True,True,180.0
16,24,1,True,True,110.0
16,24,2,True,True,260.0
16,24,3,True,True,110.0
16,24,4,True,True,120.0
16,24,5,True,True,250.0
16,25,1,True,True,270.0
16,25,2,True,True,530.0
16,25,3,True,True,370.0
16,25,4,True,True,440.0
16,25,5,True,True,340.0
16,26,1,True,True,300.0
16,26,2,True,True,220.0
16,26,3,True,True,370.0
16,26,4,True,True,210.0
16,26,5,True,True,170.0
16,27,1,True,True,160.0
16,27,2,True,True,140.0
16,27,3,True,True,150.0
16,27,4,True,True,110.0
16,27,5,True,True,110.0
16,28,1,True,True,170.0
16,28,2,True,True,260.0
16,28,3,True,True,220.0
16,28,4,True,True,230.0
16,28,5,True,True,200.0
16,29,1,True,True,320.0
16,29,2,True,True,360.0
16,29,3,True,True,250.0
16,29,4,True,True,360.0
16,29,5,True,True,320.0
16,30,1,True,True,100.0
16,30,2,True,True,120.0
16,30,3,True,True,60.0
16,30,4,True,True,100.0
16,30,5,True,True,70.0
16,31,1,True,True,110.0
16,31,2,True,True,20.0
16,31,3,True,True,10.0
16,31,4,True,True,30.0
16,31,5,True,True,70.0
16,32,1,True,True,80.0
16,32,2,True,True,110.0
16,32,3,True,True,30.0
16,32,4,True,True,130.0
16,32,5,True,True,80.0
16,33,1,True,True,160.0
16,33,2,True,True,130.0
16,33,3,True,True,160.0
16,33,4,True,True,100.0
16,33,5,True,True,120.0
16,34,1,True,True,60.0
16,34,2,True,True,120.0
16,34,3,True,True,60.0
16,34,4,True,True,60.0
16,34,5,True,True,90.0
16,35,1,False,False,
16,35,2,False,False,
16,35,3,False,False,
16,35,4,False,False,
16,35,5,False,False,
16,36,1,False,True,
16,36,2,False,False,
16,36,3,False,False,
16,36,4,False,False,
16,36,5,False,True,
17,1,1,False,False,
17,2,1,False,False,
17,2,2,False,False,
17,2,3,False,False,
17,2,4,False,False,
17,2,5,False,False,
17,3,1,False,False,
17,3,2,False,False,
17,3,3,False,False,
17,3,4,False,False,
17,3,5,False,False,
17,4,1,False,False,
17,4,2,False,False,
17,4,3,False,False,
17,4,4,False,False,
17,4,5,False,False,
17,5,1,False,False,
17,5,2,False,False,
17,5,3,False,True,
17,5,4,False,True,
17,5,5,False,True,
17,6,1,False,False,
17,6,2,False,False,
17,6,3,False,False,
17,6,4,False,False,
17,6,5,False,False,
17,7,1,False,False,
17,7,2,False,False,
17,7,3,False,False,
17,7,4,False,False,
17,7,5,False,True,
17,8,1,False,False,
17,8,2,False,False,
17,8,3,False,False,
17,8,4,False,False,
17,8,5,False,False,
17,9,1,False,False,
17,9,2,False,False,
17,9,3,False,False,
17,9,4,False,False,
17,9,5,False,False,
17,10,1,False,False,
17,10,2,False,False,
17,10,3,False,True,
17,10,4,False,True,
17,10,5,False,True,
17,11,1,False,False,
17,12,1,False,False,
17,13,1,False,False,
17,13,2,False,False,
17,13,3,False,False,
17,13,4,False,False,
17,13,5,False,False,
17,14,1,False,False,
17,14,2,False,False,
17,14,3,False,False,
17,14,4,False,False,
17,14,5,False,False,
17,15,1,False,False,
17,15,2,False,False,
17,15,3,False,False,
17,15,4,False,False,
17,15,5,False,True,
17,16,1,False,False,
17,16,2,False,False,
17,16,3,False,False,
17,16,4,False,False,
17,16,5,False,False,
17,17,1,False,False,
17,18,1,False,False,
17,18,2,False,False,
17,18,3,False,False,
17,18,4,False,False,
17,18,5,False,False,
17,19,1,False,False,
17,19,2,False,False,
17,19,3,False,False,
17,19,4,False,False,
17,19,5,False,False,
17,20,1,True,True,350.0
17,20,2,True,True,350.0
17,20,3,True,True,330.0
17,20,4,True,True,280.0
17,20,5,True,True,460.0
17,21,1,True,True,50.0
17,21,2,True,True,20.0
17,21,4,True,True,70.0
17,21,5,True,True,80.0
17,22,1,True,True,250.0
17,22,2,True,True,340.0
17,22,3,True,True,170.0
17,22,4,True,True,300.0
17,22,5,True,True,190.0
17,23,1,True,True,310.0
17,23,2,True,True,580.0
17,23,3,True,True,610.0
17,23,4,True,True,430.0
17,23,5,True,True,410.0
17,24,1,True,True,140.0
17,24,2,True,True,90.0
17,24,3,True,True,310.0
17,24,4,True,True,120.0
17,24,5,True,True,300.0
17,25,1,True,True,560.0
17,25,2,True,True,540.0
17,25,3,True,True,570.0
17,25,4,True,True,920.0
17,25,5,True,True,530.0
17,26,1,True,True,140.0
17,26,3,True,True,180.0
17,26,4,True,True,170.0
17,26,5,True,True,200.0
17,27,4,True,True,30.0
17,27,5,True,True,10.0
17,28,1,True,True,350.0
17,28,2,True,True,310.0
17,28,3,True,True,250.0
17,28,4,True,True,270.0
17,28,5,True,True,180.0
17,29,1,True,True,50.0
17,29,2,True,True,130.0
17,29,4,True,True,50.0
17,29,5,True,True,90.0
17,30,1,True,True,180.0
17,30,2,True,True,270.0
17,30,3,True,True,290.0
17,30,4,True,True,280.0
17,30,5,True,True,260.0
17,31,1,True,True,40.0
17,31,2,True,True,60.0
17,31,3,True,True,170.0
17,31,4,True,True,120.0
17,31,5,True,True,300.0
17,32,1,True,True,80.0
17,32,2,True,True,360.0
17,32,3,True,True,370.0
17,32,4,True,True,320.0
17,32,5,True,True,170.0
17,33,1,True,True,100.0
17,33,2,True,True,110.0
17,33,3,True,True,120.0
17,33,4,True,True,180.0
17,33,5,True,True,270.0
17,34,1,True,True,190.0
17,34,2,True,True,130.0
17,34,3,True,True,130.0
17,34,4,True,True,150.0
17,34,5,True,True,40.0
17,35,1,False,False,
17,35,2,False,False,
17,35,3,False,False,
17,35,5,False,False,
17,36,1,False,False,
17,36,2,False,False,
17,36,3,False,False,
17,36,4,False,False,
21,1,1,False,False,
21,2,1,False,True,
21,2,2,False,True,
21,2,3,False,False,
21,2,4,False,False,
21,2,5,False,False,
21,3,1,False,False,
21,3,2,False,False,
21,3,3,False,False,
21,3,4,False,False,
21,3,5,False,False,
21,4,1,False,False,
21,4,2,False,False,
21,4,3,False,False,
21,4,4,False,False,
21,4,5,False,False,
21,5,1,False,True,
21,5,2,False,False,
21,5,3,False,False,
21,5,4,False,False,
21,5,5,False,False,
21,6,1,False,False,
21,6,2,False,False,
21,6,3,False,False,
21,6,4,False,False,
21,6,5,False,False,
21,7,1,False,False,
21,7,2,False,False,
21,7,3,False,False,
21,7,4,False,False,
21,7,5,False,False,
21,8,1,False,False,
21,8,2,False,False,
21,8,3,False,False,
21,8,4,False,False,
21,8,5,False,False,
21,9,1,False,False,
21,9,2,False,False,
21,9,3,False,False,
21,9,4,False,False,
21,9,5,False,False,
21,10,1,False,False,
21,10,2,False,True,
21,10,3,False,False,
21,10,4,False,True,
21,10,5,False,True,
21,11,1,False,False,
21,12,1,False,False,
21,13,1,False,False,
21,13,2,False,False,
21,13,3,False,False,
21,13,4,False,False,
21,13,5,False,False,
21,14,1,False,False,
21,14,2,False,False,
21,14,3,False,False,
21,14,4,False,False,
21,14,5,False,False,
21,15,1,False,True,
21,15,2,False,False,
21,15,3,False,False,
21,15,4,False,True,
21,15,5,False,False,
21,16,1,False,False,
21,16,2,False,False,
21,16,3,False,False,
21,16,4,False,False,
21,16,5,False,False,
21,17,1,False,False,
21,18,1,False,False,
21,18,2,False,False,
21,18,3,False,False,
21,18,4,False,False,
21,18,5,False,False,
21,19,1,False,False,
21,19,2,False,False,
21,19,3,False,False,
21,19,4,False,False,
21,19,5,False,False,
21,20,2,True,True,320.0
21,20,3,True,True,360.0
21,20,4,True,True,280.0
21,20,5,True,True,230.0
21,21,2,True,False,
21,22,1,True,True,30.0
21,22,2,True,True,30.0
21,22,4,True,True,50.0
21,22,5,True,True,80.0
21,23,2,True,True,300.0
21,23,3,True,True,190.0
21,23,4,True,True,280.0
21,23,5,True,True,380.0
21,24,1,True,True,280.0
21,24,2,True,True,180.0
21,24,3,True,True,120.0
21,24,4,True,True,310.0
21,24,5,True,True,230.0
21,25,1,True,True,450.0
21,25,2,True,True,680.0
21,25,3,True,True,570.0
21,25,4,True,True,570.0
21,25,5,True,True,660.0
21,26,1,True,True,250.0
21,26,2,True,True,360.0
21,26,3,True,True,310.0
21,26,4,True,True,370.0
21,26,5,True,True,300.0
21,27,1,True,True,100.0
21,27,2,True,True,120.0
21,27,3,True,True,160.0
21,27,4,True,True,140.0
21,27,5,True,True,230.0
21,28,1,True,True,340.0
21,28,2,True,True,420.0
21,28,3,True,True,360.0
21,28,4,True,True,330.0
21,28,5,True,True,290.0
21,29,1,True,True,110.0
21,29,2,True,True,110.0
21,29,3,True,True,50.0
21,29,4,True,True,60.0
21,29,5,True,True,90.0
21,30,1,True,True,330.0
21,30,2,True,True,380.0
21,30,3,True,True,390.0
21,30,4,True,True,390.0
21,30,5,True,True,430.0
21,31,1,True,True,280.0
21,31,2,True,True,260.0
21,31,3,True,True,240.0
21,31,4,True,True,180.0
21,31,5,True,True,240.0
21,32,1,True,True,230.0
21,32,2,True,True,350.0
21,32,3,True,True,310.0
21,32,4,True,True,320.0
21,32,5,True,True,290.0
21,33,1,True,True,230.0
21,33,2,True,True,170.0
21,33,3,True,True,130.0
21,33,4,True,True,60.0
21,33,5,True,True,80.0
21,34,1,True,True,250.0
21,34,3,True,True,260.0
21,34,4,True,True,80.0
21,34,5,True,True,200.0
21,35,1,False,False,
21,35,2,False,False,
21,35,3,False,False,
21,35,4,False,False,
21,35,5,False,False,
21,36,1,False,False,
21,36,2,False,False,
21,36,3,False,False,
21,36,4,False,False,
21,36,5,False,False,
31,1,1,False,False,
31,2,1,False,False,
31,2,2,False,False,
31,2,3,False,False,
31,2,4,False,True,
31,2,5,False,True,
31,3,1,False,False,
31,3,2,False,True,
31,3,3,False,True,
31,3,4,False,False,
31,3,5,False,False,
31,4,1,False,False,
31,4,2,False,False,
31,4,3,False,False,
31,4,4,False,False,
31,4,5,False,False,
31,5,1,False,False,
31,5,2,False,False,
31,5,3,False,False,
31,5,4,False,False,
31,5,5,False,False,
31,6,1,False,False,
31,6,2,False,False,
31,6,3,False,False,
31,6,5,False,False,
31,7,1,False,False,
31,7,2,False,False,
31,7,3,False,False,
31,7,4,False,False,
31,7,5,False,False,
31,8,1,False,False,
31,8,2,False,False,
31,8,3,False,False,
31,8,4,False,False,
31,8,5,False,False,
31,9,1,False,False,
31,9,2,False,False,
31,9,3,False,False,
31,9,4,False,False,
31,9,5,False,False,
31,10,1,False,False,
31,10,2,False,False,
31,10,3,False,False,
31,10,4,False,False,
31,10,5,False,False,
31,11,1,False,False,
31,12,1,False,False,
31,13,1,False,False,
31,13,2,False,False,
31,13,3,False,False,
31,13,4,False,False,
31,14,1,False,False,
31,14,2,False,False,
31,14,3,False,False,
31,14,4,False,False,
31,14,5,False,False,
31,15,1,False,False,
31,15,2,False,False,
31,15,3,False,False,
31,15,4,False,False,
31,15,5,False,False,
31,16,1,False,False,
31,16,2,False,False,
31,16,3,False,False,
31,16,4,False,False,
31,16,5,False,False,
31,17,1,False,False,
31,18,1,False,False,
31,18,2,False,False,
31,18,3,False,False,
31,18,4,False,False,
31,18,5,False,False,
31,19,1,False,False,
31,19,2,False,False,
31,19,3,False,False,
31,19,4,False,False,
31,19,5,False,False,
31,20,1,True,True,410.0
31,20,2,True,True,340.0
31,20,3,True,True,410.0
31,20,4,True,True,380.0
31,20,5,True,True,400.0
31,21,1,True,True,170.0
31,21,2,True,True,160.0
31,21,3,True,True,190.0
31,21,4,True,True,200.0
31,21,5,True,True,160.0
31,22,1,True,True,230.0
31,22,2,True,True,380.0
31,22,3,True,True,170.0
31,22,4,True,True,360.0
31,22,5,True,True,180.0
31,23,1,True,True,320.0
31,23,2,True,True,320.0
31,23,3,True,True,410.0
31,23,4,True,True,350.0
31,23,5,True,True,450.0
31,24,1,True,True,160.0
31,24,2,True,True,220.0
31,24,3,True,True,250.0
31,24,4,True,True,230.0
31,24,5,True,True,170.0
31,25,1,True,True,450.0
31,25,2,True,True,300.0
31,25,3,True,True,380.0
31,25,4,True,True,510.0
31,25,5,True,True,570.0
31,26,1,True,True,170.0
31,26,2,True,True,200.0
31,26,3,True,True,230.0
31,26,4,True,True,260.0
31,26,5,True,True,220.0
31,27,1,True,True,190.0
31,27,2,True,True,170.0
31,27,3,True,True,250.0
31,27,4,True,True,230.0
31,27,5,True,True,150.0
31,28,1,True,True,310.0
31,28,2,True,True,240.0
31,28,3,True,True,230.0
31,28,4,True,True,250.0
31,29,1,True,True,220.0
31,29,3,True,True,180.0
31,29,4,True,True,180.0
31,29,5,True,True,150.0
31,30,1,True,True,210.0
31,30,2,True,True,330.0
31,30,3,True,True,230.0
31,30,4,True,True,290.0
31,30,5,True,True,240.0
31,31,1,True,True,190.0
31,31,2,True,True,100.0
31,31,4,True,True,70.0
31,31,5,True,True,50.0
31,32,1,True,True,110.0
31,32,2,True,True,180.0
31,32,3,True,True,180.0
31,32,4,True,True,200.0
31,32,5,True,True,140.0
31,33,1,True,True,90.0
31,33,2,True,True,210.0
31,33,3,True,True,170.0
31,33,4,True,True,170.0
31,33,5,True,True,160.0
31,34,1,True,True,110.0
31,34,4,True,True,190.0
31,34,5,True,True,90.0
31,35,1,False,False,
31,35,2,False,False,
31,35,4,False,False,
31,35,5,False,False,
31,36,1,False,False,
31,36,2,False,False,
31,36,3,False,False,
31,36,4,False,True,
31,36,5,False,True,
32,1,1,False,False,
32,2,1,False,True,
32,2,2,False,True,
32,2,3,False,True,
32,2,4,False,False,
32,2,5,False,True,
32,3,1,False,False,
32,3,2,False,False,
32,3,3,False,False,
32,3,4,False,False,
32,3,5,False,False,
32,4,1,False,False,
32,4,2,False,False,
32,4,3,False,False,
32,4,4,False,False,
32,4,5,False,False,
32,5,1,False,False,
32,5,2,False,False,
32,5,3,False,False,
32,5,4,False,False,
32,5,5,False,False,
32,6,1,False,False,
32,6,2,False,False,
32,6,3,False,False,
32,6,4,False,False,
32,6,5,False,False,
32,7,1,False,False,
32,7,2,False,False,
32,7,3,False,False,
32,7,4,False,False,
32,7,5,False,False,
32,8,1,False,False,
32,8,2,False,False,
32,8,3,False,False,
32,8,4,False,False,
32,8,5,False,False,
32,9,1,False,False,
32,9,2,False,False,
32,9,3,False,False,
32,9,4,False,False,
32,9,5,False,True,
32,10,1,False,True,
32,10,2,False,False,
32,10,3,False,True,
32,10,4,False,False,
32,10,5,False,True,
32,11,1,False,False,
32,12,1,False,False,
32,13,1,False,False,
32,13,2,False,False,
32,13,3,False,False,
32,13,4,False,False,
32,13,5,False,False,
32,14,1,False,False,
32,14,2,False,False,
32,14,3,False,False,
32,14,4,False,False,
32,14,5,False,False,
32,15,1,False,False,
32,15,2,False,True,
32,15,3,False,False,
32,15,4,False,True,
32,15,5,False,False,
32,16,1,False,True,
32,16,2,False,False,
32,16,3,False,False,
32,16,4,False,False,
32,17,1,False,False,
32,18,1,False,False,
32,18,2,False,False,
32,18,3,False,False,
32,18,4,False,False,
32,18,5,False,False,
32,19,1,False,False,
32,19,2,False,False,
32,19,3,False,False,
32,19,4,False,False,
32,19,5,False,False,
32,20,1,True,True,590.0
32,20,2,True,True,560.0
32,20,3,True,True,510.0
32,20,4,True,True,560.0
32,20,5,True,True,480.0
32,21,1,True,True,180.0
32,21,2,True,True,180.0
32,21,3,True,True,170.0
32,21,4,True,True,180.0
32,21,5,True,True,90.0
32,22,1,True,True,190.0
32,22,2,True,True,140.0
32,22,3,True,True,290.0
32,22,4,True,True,160.0
32,22,5,True,True,230.0
32,23,1,True,True,330.0
32,23,2,True,True,430.0
32,23,3,True,True,420.0
32,23,4,True,True,500.0
32,23,5,True,True,510.0
32,24,1,True,True,210.0
32,24,2,True,True,200.0
32,24,3,True,True,330.0
32,24,4,True,True,320.0
32,24,5,True,True,210.0
32,25,1,True,True,250.0
32,25,2,True,True,270.0
32,25,3,True,True,360.0
32,25,4,True,True,420.0
32,25,5,True,True,340.0
32,26,1,True,True,230.0
32,26,2,True,True,240.0
32,26,3,True,True,250.0
32,26,4,True,True,230.0
32,26,5,True,True,270.0
32,27,1,True,True,120.0
32,27,2,True,True,100.0
32,27,3,True,True,220.0
32,27,4,True,True,130.0
32,27,5,True,True,200.0
32,28,1,True,True,200.0
32,28,2,True,True,330.0
32,28,3,True,True,190.0
32,28,4,True,True,270.0
32,28,5,True,True,270.0
32,29,1,True,True,220.0
32,29,2,True,True,290.0
32,29,3,True,True,290.0
32,29,4,True,True,230.0
32,29,5,True,True,250.0
32,30,1,True,True,230.0
32,30,2,True,True,250.0
32,30,3,True,True,160.0
32,30,4,True,True,120.0
32,30,5,True,True,140.0
32,31,1,True,True,80.0
32,31,2,True,True,40.0
32,31,3,True,True,110.0
32,31,4,True,True,100.0
32,31,5,True,True,130.0
32,32,1,True,True,100.0
32,32,2,True,True,100.0
32,32,3,True,True,80.0
32,32,4,True,True,90.0
32,32,5,True,True,60.0
32,33,1,True,True,170.0
32,33,2,True,True,180.0
32,33,3,True,True,120.0
32,33,4,True,True,180.0
32,33,5,True,True,150.0
32,34,1,True,True,160.0
32,34,2,True,True,160.0
32,34,3,True,True,150.0
32,34,4,True,True,180.0
32,34,5,True,True,110.0
32,35,1,False,False,
32,35,2,False,False,
32,35,3,False,False,
32,35,4,False,False,
32,35,5,False,False,
32,36,2,False,False,
32,36,3,False,False,
32,36,4,False,False,
32,36,5,False,False,
