subject,task,trial,is_fall,split,impact_frame,threshold_fire_frame,cusum_fire_frame,cusum_side,shapelet_fire_frame,any_fire_frame,majority_fire_frame,unanimous_fire_frame
6,20,1,True,train,208.0,218.0,215.0,minus,90.0,90.0,215.0,218.0
6,20,2,True,train,272.0,282.0,277.0,minus,179.0,179.0,277.0,282.0
6,20,3,True,train,260.0,271.0,268.0,minus,206.0,206.0,268.0,271.0
6,20,4,True,train,231.0,242.0,237.0,minus,424.0,237.0,242.0,424.0
6,20,5,True,train,223.0,200.0,217.0,plus,,200.0,217.0,
6,21,1,True,train,161.0,142.0,171.0,minus,73.0,73.0,142.0,171.0
6,21,2,True,train,167.0,150.0,177.0,minus,62.0,62.0,150.0,177.0
6,21,3,True,train,187.0,167.0,184.0,plus,95.0,95.0,167.0,184.0
6,21,4,True,train,167.0,144.0,159.0,plus,126.0,126.0,144.0,159.0
6,22,1,True,train,194.0,169.0,184.0,plus,,169.0,184.0,
6,22,2,True,train,240.0,217.0,228.0,plus,186.0,186.0,217.0,228.0
6,22,3,True,train,216.0,191.0,207.0,plus,67.0,67.0,191.0,207.0
6,22,4,True,train,208.0,190.0,206.0,plus,,190.0,206.0,
6,22,5,True,train,345.0,320.0,330.0,plus,292.0,292.0,320.0,330.0
6,23,1,True,train,223.0,206.0,234.0,minus,107.0,107.0,206.0,234.0
6,23,2,True,train,253.0,265.0,264.0,minus,,264.0,265.0,
6,23,3,True,train,361.0,305.0,352.0,plus,297.0,297.0,305.0,352.0
6,23,4,True,train,288.0,275.0,288.0,plus,503.0,275.0,288.0,503.0
6,23,5,True,train,316.0,304.0,327.0,minus,296.0,296.0,304.0,327.0
6,24,1,True,train,294.0,,298.0,minus,128.0,128.0,298.0,
6,24,2,True,train,251.0,,247.0,plus,170.0,170.0,247.0,
6,24,3,True,train,247.0,,226.0,plus,189.0,189.0,226.0,
6,24,4,True,train,288.0,,266.0,plus,,266.0,,
6,24,5,True,train,288.0,271.0,286.0,plus,259.0,259.0,271.0,286.0
6,25,2,True,train,220.0,191.0,171.0,minus,,171.0,191.0,
6,25,3,True,train,179.0,108.0,136.0,minus,103.0,103.0,108.0,136.0
6,25,4,True,train,190.0,155.0,170.0,plus,356.0,155.0,170.0,356.0
6,25,5,True,train,221.0,190.0,208.0,plus,,190.0,208.0,
